"municipio.x";"cod_ibge";"uf";"total_doses";"total_dose_1";"total_dose_2";"populacao";"cobertura_vacinal_dose_1";"cobertura_vacinal_dose_2"
"Saldanha Marinho";431643;"RS";2594;1713;804;2622;65,3;30,7
"Bozano";430258;"RS";1955;1242;648;2111;58,8;30,7
"Contendas Do Sincorá";290880;"BA";3974;2705;1236;4045;66,9;30,6
"Vespasiano Correa";432285;"RS";1749;1155;550;1795;64,3;30,6
"Tenente Portela";432140;"RS";12663;8243;4099;13434;61,4;30,5
"Santo Afonso";510726;"MT";2494;1413;962;3155;44,8;30,5
"Mato Queimado";431217;"RS";1516;963;496;1629;59,1;30,4
"Santo Expedito Do Sul";431795;"RS";2400;1652;699;2305;71,7;30,3
"Amambai";500060;"MS";38413;24367;12044;39826;61,2;30,2
"Tacuru";500795;"MS";9580;5644;3523;11674;48,3;30,2
"Dona Francisca";430670;"RS";2851;1910;907;2999;63,7;30,2
"Bernardino De Campos";350630;"SP";11612;7872;3356;11158;70,6;30,1
"Rondinha";431620;"RS";4920;3260;1529;5080;64,2;30,1
"Planalto Alegre";421315;"SC";3167;2274;870;2888;78,7;30,1
"Pariconha";270642;"AL";8016;4865;3151;10539;46,2;29,9
"Tapiraí";316820;"MG";2005;1445;560;1872;77,2;29,9
"São Domingos Do Capim";150720;"PA";24014;14448;9566;32139;45;29,8
"Itati";431065;"RS";2608;1808;714;2397;75,4;29,8
"Protásio Alves";431517;"RS";1796;1165;577;1938;60,1;29,8
"São João Da Urtiga";431842;"RS";4298;2828;1379;4641;60,9;29,7
"São Francisco Do Oeste";241190;"RN";5782;4399;1258;4255;103,4;29,6
"Major Sales";240725;"RN";4071;2790;1203;4062;68,7;29,6
"Nova Boa Vista";431295;"RS";1733;1169;519;1753;66,7;29,6
"Ipiranga Do Sul";431046;"RS";1923;1307;554;1880;69,5;29,5
"Nova Bréscia";431300;"RS";2994;1944;975;3337;58,3;29,2
"Augusto Pestana";430150;"RS";6069;3974;1922;6602;60,2;29,1
"Tuparendi";432230;"RS";7566;5150;2267;7810;65,9;29
"Nova Castilho";353286;"SP";1289;880;371;1278;68,9;29
"Ilópolis";431030;"RS";3657;2437;1176;4066;59,9;28,9
"Rubinéia";354450;"SP";3619;2597;915;3170;81,9;28,9
"Lourdes";352725;"SP";2243;1530;665;2300;66,5;28,9
"Ponte Preta";431478;"RS";1377;926;440;1524;60,8;28,9
"Monte Das Gameleiras";240790;"RN";2307;1677;600;2084;80,5;28,8
"Forquetinha";430843;"RS";2199;1484;690;2400;61,8;28,8
"Estrela D'Oeste";351520;"SP";9271;6411;2414;8419;76,1;28,7
"Maquiné";431177;"RS";6027;3962;1916;6681;59,3;28,7
"Sertão";432050;"RS";5176;3484;1524;5315;65,6;28,7
"Nova Pádua";431308;"RS";2173;1392;735;2558;54,4;28,7
"Jardinópolis";420895;"SC";1675;1192;443;1546;77,1;28,7
"Tupã";355500;"SP";70435;49550;18640;65570;75,6;28,4
"Miguel Leão";220630;"PI";1445;1088;353;1242;87,6;28,4
"Aratiba";430090;"RS";5631;3730;1752;6189;60,3;28,3
"Alto Alegre";430055;"RS";1423;920;457;1613;57;28,3
"Campina Das Missões";430370;"RS";4963;3301;1523;5398;61,2;28,2
"Viadutos";432290;"RS";4336;2899;1323;4690;61,8;28,2
"Torre De Pedra";355465;"SP";2513;1757;683;2422;72,5;28,2
"Uiramutã";140070;"RR";7571;4543;3028;10789;42,1;28,1
"Sete De Setembro";432057;"RS";1715;1118;547;1950;57,3;28,1
"Jaguari";431110;"RS";10174;6830;3010;10763;63,5;28
"Santana Da Ponte Pensa";354720;"SP";1373;922;411;1467;62,8;28
"Floriano Peixoto";430825;"RS";1577;1049;484;1737;60,4;27,9
"São Valentim";431970;"RS";3082;2112;906;3259;64,8;27,8
"São Domingos Do Sul";431805;"RS";2797;1874;853;3083;60,8;27,7
"Coronel Barros";430587;"RS";2297;1525;699;2520;60,5;27,7
"Ivorá";431075;"RS";1756;1185;521;1881;63;27,7
"Janduís";240520;"RN";5941;4405;1450;5248;83,9;27,6
"São Martinho";431910;"RS";4889;3264;1483;5380;60,7;27,6
